"","Gene.Symbol","ProbeID.x","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","ProbeID.y","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","fisher_stat","df","fisher_p","adj_fisher_p"
"2121","METTL7A","209703_x_at",0.719971146797259,4.46875308465869,11.5736720576658,5.9063078272098e-23,1.49363314014828e-19,41.5125178172652,"207761_s_at",-0.490879918458576,10.9087836503844,-4.94711238587278,1.37156840648621e-06,1.80903342098183e-05,4.96931757679217,"7955441",0.210868893076947,8.53365187570204,1.99307635834473,0.0495767791041037,0.184026039311397,-4.33009126532169,135.374449209158,6,9.47601724262545e-27,4.04698828700435e-24
"2510","OCIAD1","239748_x_at",0.824723711761447,10.3008487687332,10.9480903471747,3.16111076347149e-21,3.03217071917199e-18,37.6165058937161,"223010_s_at",0.369842893024845,10.8545975746919,5.46872368905154,1.08360591694997e-07,2.67634485628634e-06,7.36920132549691,"8094974",-0.141559857162365,9.68556869035359,-2.5879389182335,0.0114168835327953,0.0750273678531811,-3.08897430585954,135.427653692901,6,9.23440461149726e-27,4.04698828700435e-24
"1476","GOLIM4","204324_s_at",1.81614995943374,5.73195243289012,10.5045410855871,5.22114294645247e-20,2.65518544449273e-17,34.8712518849383,"238002_at",-0.433045900294953,8.66693947440825,-5.6968184859308,3.36874669970117e-08,1.11831345358932e-06,8.4780087746575,"8091954",0.219985011761368,10.0934016223564,3.13329174867702,0.00239729104536506,0.0283664981881094,-1.7158249427093,135.277082809751,6,9.93465918416338e-27,4.13679208428563e-24
"339","ATXN10","208832_at",-0.907363572240663,6.05283239226672,-8.64841241969694,4.89055594477295e-15,3.87523400406465e-13,23.6717790221295,"208833_s_at",0.31983648422505,11.5025335095093,6.29721862503595,1.32439519225579e-09,1.2170531677086e-07,11.5593092789882,"8073799",-0.251129673410334,11.0223431937255,-5.27365013009598,1.06458877042667e-06,0.00028819196982843,5.35796502433222,134.293404625132,6,1.60144087523017e-26,6.34544133087821e-24
"2560","PALLD","200907_s_at",1.29390099549015,5.76184454668143,9.36713089403048,6.23293818877784e-17,9.26048628998446e-15,27.9376588898003,"200897_s_at",-0.673012150463498,9.32497266402082,-6.57556719985104,2.73988413354359e-10,4.11547156597516e-08,13.0636935858629,"8098263",0.248909567238145,7.77577687542414,3.69150776272264,0.000400150419264814,0.00893619356653406,-0.103719885258043,134.311408141471,6,1.58750900811567e-26,6.34544133087821e-24
"3715","TFEB","50221_at",1.1263000566387,5.46783617547266,11.6183362548316,4.4417520190259e-23,1.31890728651258e-19,41.7914472470253,"50221_at",-0.37247796260333,7.92915728110579,-4.31739226360153,2.26471776609361e-05,0.000166175341327092,2.33823630406516,"8126312",0.103983503189055,7.87468756782832,2.75713518616264,0.00718492012134082,0.0564680826664082,-2.68584549602662,134.199308877372,6,1.67626932371903e-26,6.34544133087821e-24
"4152","YWHAB","217717_s_at",-1.45884524633458,7.2631930269562,-8.10650146549872,1.21152941361335e-13,6.15616827967562e-12,20.5364555196212,"217717_s_at",0.473981793611392,11.47275722486,6.11078262048832,3.70661460441862e-09,2.45053389959599e-07,10.578017704726,"8062880",-0.362646271846103,11.9562307562894,-6.27205130740613,1.58397328412338e-08,2.93869417301385e-05,9.27611310540609,134.231227737033,6,1.65050253108976e-26,6.34544133087821e-24
"1318","FIBP","202041_s_at",-1.20687207060872,6.5294346377825,-10.0784386890283,7.57683585853282e-19,2.36722000323018e-16,32.2529115387506,"202041_s_at",0.366436158086577,9.43279877273637,6.09384951038227,4.06546935969905e-09,2.61198046112275e-07,10.4899634514331,"7949518",-0.147103189517196,9.72284996250643,-3.12618778892857,0.00244956729434857,0.0287501316868251,-1.73505113752783,134.11320321768,6,1.74780196700554e-26,6.34684500367665e-24
"2350","NDUFA9","208969_at",-0.976238789487454,6.74078700445354,-10.046510343891,9.25017342838104e-19,2.84131029324008e-16,32.0576061342685,"208969_at",0.257825707608422,9.39503494588873,5.7724720789756,2.26921961161994e-08,8.51541401958271e-07,8.85346955332727,"7953243",-0.206734632346238,10.3694539575336,-3.71582742377791,0.000368616750290026,0.00849400133868997,-0.0291601486031796,134.062944584556,6,1.79095650319886e-26,6.34684500367665e-24
"4127","WWTR1","202133_at",1.39384640873326,5.18263008626723,9.26508246464888,1.16538190423479e-16,1.56939053236544e-14,27.3255165412056,"202133_at",-0.894650685064986,7.40512230458343,-6.91320253615967,3.81450288377124e-11,1.19860888028846e-08,14.9491625274395,"8091422",0.309610824446789,8.79651138199602,3.23927721876966,0.00173112210448088,0.0231034858740298,-1.42499137519774,134.073847555245,6,1.78150510872198e-26,6.34684500367665e-24
"855","CTTN","214782_at",1.37425570287639,5.39752973717027,10.4168108324392,9.07167689290769e-20,4.0655240501617e-17,34.3304773266244,"214782_at",-0.597486223338714,6.95271954017979,-6.66788550771677,1.60844602512579e-10,2.91197968290571e-08,13.5727529428807,"7942204",0.0142400652252732,9.23978793621728,0.396887973331727,0.692480542318649,0.829140453068938,-6.1380624457561,133.529204574555,6,2.32044883720318e-26,8.05195746509503e-24
"541","CASP6","211464_x_at",0.70765485414465,3.9514059762723,10.9843468695014,2.51167275775981e-21,2.6397525635017e-18,37.8416334762716,"209790_s_at",-0.217354723749051,5.83168003315964,-5.1220545265111,5.97991608850993e-07,9.71625296104845e-06,5.7526426605881,"8102311",0.130128662760985,5.84340737834837,2.75499197266909,0.00722806934665695,0.0567491216778204,-2.69108415814651,133.385620823184,6,2.48788508261343e-26,8.28764278720184e-24
"2421","NLN","234762_x_at",1.36305215907232,9.53955992743551,11.841958778901,1.06512413689574e-23,4.15969015605533e-20,43.1890529895329,"234762_x_at",-0.274757409897234,9.809691673973,-4.98719177605678,1.13620075550436e-06,1.5705310660742e-05,5.146817963886,"8105663",-0.00690936189628033,8.12712371304806,-0.13989039534244,0.889089420750767,0.94485985024253,-6.2050661264882,133.403487561336,6,2.46640957454488e-26,8.28764278720184e-24
